retailerId|mobile|masterAppOrderId|appOrderId|transactionAmount|orderDate|orderStatus|paymentMode|paymentMethod|paymentDesc|gstId
--|15|epfyjtjqolraih|mdkztx|37.563698|2023-01-22|Delivered|wgqyuwjkeimk|{classsize=0.20|--|--
--|2|ghtmrzznmze|pwwgq|60.099182|2023-06-17|Delivered|nwipwcdhd|Credit|--|--
--|24|xdrwrxbnd|dnjoehfju|58.138264|2023-06-03|Delivered|enndjl|Credit|--|--
--|25|wumsxucvpbbf|nfaibnw|49.95235|2023-07-21|Delivered|pwetydqaoyrcbj|{classsize=0.20|--|--
--|34|fbfqo|fikojn|89.06396|2023-01-02|Delivered|yymqzijyvbfeh|Credit|--|--
--|84|auxnqddk|wbztdt|72.92956|2023-02-08|Delivered|wbmoagtgb|Credit|--|--
--|93|uopnghdqpl|dhzyexhu|58.739204|2023-06-07|Delivered|pbuqcs|UPL|--|--
--|1|aaihsvjrjhtpxy|astgogutaoo|27.327263|2023-03-05|Delivered|fmrivapdhk|{classsize=0.20|--|--
--|15|fobhlw|vpwwrsh|78.473564|2023-05-05|Delivered|rkybacdzr|Credit|--|--
--|66|jwgzt|dqypy|11.2846365|2023-06-17|Delivered|zelhdmk|{classsize=0.20|--|--
--|40|cdwweptvxjst|igicjjspko|41.879745|2023-07-09|Delivered|iifkgm|{classsize=0.20|--|--
--|34|jxlyzdt|rgrwnnfdtl|37.26654|2023-04-22|Delivered|uchkptkfbnwwi|Credit|--|--
--|75|vitpe|kxnokesvr|99.07648|2023-01-13|Delivered|uomhcuc|Credit|--|--
--|96|xozjfnl|jjtksyksaahrl|13.740109|2023-07-04|Delivered|iofooqmayeeh|{classsize=0.20|--|--
--|73|syjldyqzotbpi|pmjzrjfujnvvrv|96.7177|2023-06-11|Delivered|qgywcqutkrc|Credit|--|--
--|93|semjegcaijqtyj|ubspj|97.560555|2023-05-16|Delivered|yyaokywqvng|UPL|--|--
